tanggal;nominal
2021-12-23 00.00.00;4306478
2021-12-24 00.00.00;14797465
2021-12-25 00.00.00;8680000
2021-12-26 00.00.00;3310282
2021-12-27 00.00.00;7913931
2021-12-28 00.00.00;5760000
2021-12-29 00.00.00;4655204
2021-12-30 00.00.00;5014693
2021-12-31 00.00.00;18088658
2022-01-01 00.00.00;1600342
2022-01-02 00.00.00;1155081
2022-01-03 00.00.00;13985000
2022-01-04 00.00.00;3150000
2022-01-05 00.00.00;9546111
2022-01-06 00.00.00;7300953
2022-01-07 00.00.00;7557997
2022-01-08 00.00.00;3370177
2022-01-09 00.00.00;1875001
2022-01-10 00.00.00;10377962
2022-01-11 00.00.00;3809985
2022-01-12 00.00.00;1700000
2022-01-13 00.00.00;1480720
2022-01-14 00.00.00;8068625
2022-01-15 00.00.00;830798
2022-01-16 00.00.00;3176164
2022-01-17 00.00.00;4738898
2022-01-18 00.00.00;970551
2022-01-19 00.00.00;3117048
2022-01-20 00.00.00;3105153
2022-01-21 00.00.00;8817818
2022-01-22 00.00.00;1575144
2022-01-23 00.00.00;951592
2022-01-24 00.00.00;6595986
2022-01-25 00.00.00;5377500
2022-01-26 00.00.00;4714978
2022-01-27 00.00.00;7180911
2022-01-28 00.00.00;11012933
2022-01-29 00.00.00;3440200
2022-01-30 00.00.00;961000
2022-01-31 00.00.00;8050611
2022-02-01 00.00.00;6312839
2022-02-02 00.00.00;10193000
2022-02-03 00.00.00;6860000
2022-02-04 00.00.00;10710876
2022-02-05 00.00.00;6135000
2022-02-06 00.00.00;1890000
2022-02-07 00.00.00;2541250
2022-02-08 00.00.00;11703213
2022-02-09 00.00.00;3197500
2022-02-10 00.00.00;850000
2022-02-11 00.00.00;8762000
2022-02-12 00.00.00;3684714
2022-02-13 00.00.00;910697
2022-02-14 00.00.00;5615000
2022-02-15 00.00.00;3374303
2022-02-16 00.00.00;8899800
2022-02-17 00.00.00;9137000
2022-02-18 00.00.00;6185898
2022-02-19 00.00.00;1870000
2022-02-20 00.00.00;270000
2022-02-21 00.00.00;4353750
2022-02-22 00.00.00;3504775
2022-02-23 00.00.00;2335000
2022-02-24 00.00.00;1950000
2022-02-25 00.00.00;18958858
2022-02-26 00.00.00;3678809
2022-02-27 00.00.00;2415000
2022-02-28 00.00.00;2402431
2022-03-01 00.00.00;15750000
2022-03-02 00.00.00;5895644
2022-03-03 00.00.00;9530009
2022-03-04 00.00.00;12369867
2022-03-05 00.00.00;4125000
2022-03-06 00.00.00;1440000
2022-03-07 00.00.00;4930000
2022-03-08 00.00.00;2460400
2022-03-09 00.00.00;520000
2022-03-10 00.00.00;1331062
2022-03-11 00.00.00;7382305
